Настроение,Бюджет,Время,Активность
Спокойное,Бесплатно,30 минут,Медитация под спокойную музыку
Спокойное,Бесплатно,30 минут,Почитать статью или короткую главу книги
Спокойное,Бесплатно,30 минут,Прогулка наедине в тихом месте
Спокойное,Бесплатно,1 час,Расслабляющее видео или подкаст
Спокойное,Бесплатно,1 час,Теплая ванна с солью
Спокойное,Бесплатно,1 час,Письмо себе в будущее
Спокойное,Бесплатно,2+ часа,Чтение художественной книги
Спокойное,Бесплатно,2+ часа,Прогулка в парке без телефона
Спокойное,Бесплатно,2+ часа,Собрать пазл или конструктор
Спокойное,До 500₽,30 минут,Купить кофе и наблюдать за прохожими
Спокойное,До 500₽,30 минут,Короткая ароматерапия дома
Спокойное,До 500₽,30 минут,Мягкий плейлист и свечи
Спокойное,До 500₽,1 час,Посетить библиотеку или выставку
Спокойное,До 500₽,1 час,Планирование в красивом блокноте
Спокойное,До 500₽,1 час,Поесть в уютном недорогом кафе
Спокойное,До 500₽,2+ часа,Мастер-класс по акварели
Спокойное,До 500₽,2+ часа,Посещение недорогого музея
Спокойное,До 500₽,2+ часа,Расслабляющий массаж креслом в ТЦ
Спокойное,До 1000₽,30 минут,Мини-сеанс массажа
Спокойное,До 1000₽,30 минут,Чайная дегустация
Спокойное,До 1000₽,30 минут,Посещение зала ароматерапии
Спокойное,До 1000₽,1 час,Йога-класс
Спокойное,До 1000₽,1 час,Тихое арт-кафе
Спокойное,До 1000₽,1 час,Сеанс звуковой терапии
Спокойное,До 1000₽,2+ часа,Посещение спа-зоны
Спокойное,До 1000₽,2+ часа,Медитативная прогулка с аудиогидом
Спокойное,До 1000₽,2+ часа,Релакс-программа в банном комплексе
Спокойное,Свободный бюджет,30 минут,Сеанс расслабляющего массажа
Спокойное,Свободный бюджет,30 минут,Индивидуальное занятие по йоге
Спокойное,Свободный бюджет,30 минут,Экспресс-процедура ухода за лицом
Спокойное,Свободный бюджет,1 час,Полный спа-сеанс
Спокойное,Свободный бюджет,1 час,Посещение флоат-комнаты
Спокойное,Свободный бюджет,1 час,Вечер в лаунж-кафе с живой музыкой
Спокойное,Свободный бюджет,2+ часа,Спа-день в премиум-центре
Спокойное,Свободный бюджет,2+ часа,Путешествие в загородный ретрит
Спокойное,Свободный бюджет,2+ часа,Массаж + чайная церемония
