title,description,weather,mood,budget,duration
Быстрая разминка под музыку,Быстрая разминка под музыку,любая,Весёлое,Бесплатно,30 минут
Сделать 5 забавных селфи в,Сделать 5 забавных селфи в разных образах,любая,Весёлое,Бесплатно,30 минут
Мини-флешмоб в сторис,Мини-флешмоб в сторис,любая,Весёлое,Бесплатно,30 минут
Прогулка с другом и шутками,Прогулка с другом и шутками,любая,Весёлое,Бесплатно,1 час
Записать смешное видео,Записать смешное видео,любая,Весёлое,Бесплатно,1 час
Играть в бесплатные онлайн-викторины,Играть в бесплатные онлайн-викторины,любая,Весёлое,Бесплатно,1 час
"Организовать дворовую игру (фрисби, мафия)","Организовать дворовую игру (фрисби, мафия)",любая,Весёлое,Бесплатно,2+ часа
Устроить TikTok-марафон,Устроить TikTok-марафон,любая,Весёлое,Бесплатно,2+ часа
Пикник в парке с гитарой,Пикник в парке с гитарой,любая,Весёлое,Бесплатно,2+ часа
Купить мороженое и устроить челлендж,Купить мороженое и устроить челлендж на эмоции,любая,Весёлое,До 500₽,30 минут
Блиц-викторина в антикафе,Блиц-викторина в антикафе,любая,Весёлое,До 500₽,30 минут
Сыграть партию в настолку в,Сыграть партию в настолку в кафе,любая,Весёлое,До 500₽,30 минут
Прокат самокатов на час,Прокат самокатов на час,любая,Весёлое,До 500₽,1 час
Фан-завтрак в фастфуде с заданием,Фан-завтрак в фастфуде с заданием на выбор еды,любая,Весёлое,До 500₽,1 час
Посетить недорогое интерактивное пространство,Посетить недорогое интерактивное пространство,любая,Весёлое,До 500₽,1 час
Боулинг по акции,Боулинг по акции,любая,Весёлое,До 500₽,2+ часа
Лазертаг с друзьями,Лазертаг с друзьями,любая,Весёлое,До 500₽,2+ часа
Мини-турнир по настольным играм в,Мини-турнир по настольным играм в клубе,любая,Весёлое,До 500₽,2+ часа
VR-игра в клубе,VR-игра в клубе,любая,Весёлое,До 1000₽,30 минут
Быстрый мастер-класс по танцам,Быстрый мастер-класс по танцам,любая,Весёлое,До 1000₽,30 минут
Аттракционы в парке,Аттракционы в парке,любая,Весёлое,До 1000₽,30 минут
Сходить на экспресс-мафию,Сходить на экспресс-мафию,любая,Весёлое,До 1000₽,1 час
Караоке на час,Караоке на час,любая,Весёлое,До 1000₽,1 час
Небольшой квест в реальности,Небольшой квест в реальности,любая,Весёлое,До 1000₽,1 час
Кино и кафе,Кино и кафе,любая,Весёлое,До 1000₽,2+ часа
Квест-комната,Квест-комната,любая,Весёлое,До 1000₽,2+ часа
Билет на шоу или стендап,Билет на шоу или стендап,любая,Весёлое,До 1000₽,2+ часа
Заказать экспресс-подарок другу,Заказать экспресс-подарок другу,любая,Весёлое,Свободный бюджет,30 минут
Фотосессия в студии,Фотосессия в студии,любая,Весёлое,Свободный бюджет,30 минут
Массаж в барбершопе/салоне,Массаж в барбершопе/салоне,любая,Весёлое,Свободный бюджет,30 минут
Полетать на симуляторе самолёта,Полетать на симуляторе самолёта,любая,Весёлое,Свободный бюджет,1 час
Спа-сеанс или float-комната,Спа-сеанс или float-комната,любая,Весёлое,Свободный бюджет,1 час
Устроить гастро-дегустацию,Устроить гастро-дегустацию,любая,Весёлое,Свободный бюджет,1 час
Билеты на квест с актёрами,Билеты на квест с актёрами,любая,Весёлое,Свободный бюджет,2+ часа
VIP-зона в караоке-клубе,VIP-зона в караоке-клубе,любая,Весёлое,Свободный бюджет,2+ часа
Спа-день или развлекательный комплекс,Спа-день или развлекательный комплекс,любая,Весёлое,Свободный бюджет,2+ часа
